Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Kita,,Apartment,589.0
Hotel,Taito,2.0,Hotel Room,621.0
Hotel,Shinagawa,,Apartment,1807.0
Hotel,Sumida,,Apartment,811.0
Hotel,Taito,1.0,Hotel Room,378.0
Hotel,Taito,1.0,Dormitory,226.0
Hotel,Toshima,1.0,Hotel Room,389.0
Hotel,Shinjuku,3.0,Hotel Room,1299.0
Hotel,Koto,1.0,Dormitory,190.0
Hotel,Shibuya,1.0,Hotel Room,915.0
Hotel,Minato,1.0,Hotel Room,1910.0
Hotel,Minato,1.0,Hotel Room,1117.0
Hotel,Minato,2.0,Hotel Room,2530.0
Hotel,Shibuya,1.0,Hotel Room,1471.0
Hotel,Shibuya,1.0,Dormitory,566.0
Hotel,Chiyoda,1.0,Hotel Room,2067.0
Hotel,Chuo,1.0,Hotel Room,594.0
Hotel,Shibuya,1.0,Hotel Room,911.0
Hotel,Chuo,1.0,Hotel Room,957.0
Hotel,Minato,1.0,Hotel Room,728.0
Hotel,Chuo,1.0,Hotel Room,608.0
Hotel,Chuo,1.0,Hotel Room,835.0
Hotel,Shinjuku,1.0,Hotel Room,867.0
Hotel,Chuo,1.0,Hotel Room,1039.0
Hotel,Shinjuku,1.0,Hotel Room,863.0
Hotel,Shibuya,1.0,Hotel Room,1839.0
Hotel,Ota,1.0,Hotel Room,1448.0
Hotel,Shibuya,1.0,Hotel Room,989.0
Hotel,Chuo,1.0,Hotel Room,608.0
Hotel,Shibuya,1.0,Hotel Room,1028.0
Hotel,Shinjuku,1.0,Hotel Room,1929.0
Hotel,Shinagawa,1.0,Hotel Room,658.0
Hotel,Minato,1.0,Hotel Room,644.0
Hotel,Chuo,1.0,Hotel Room,608.0
Hotel,Chuo,1.0,Hotel Room,790.0
Hotel,Taito,1.0,Hotel Room,500.0
Hotel,Kita,1.0,Hotel Room,746.0
Hotel,Chuo,1.0,Hotel Room,1082.0
Hotel,Sumida,2.0,Hotel Room,1228.0
Hotel,Chuo,1.0,Hotel Room,1880.0
Hotel,Shinagawa,1.0,Hotel Room,726.0
