Number of Beds,Price (HKD),Type,Location
1.0,101.0,Condo,Hong Kong
4.0,266.0,Townhouse,Hong Kong
3.0,551.0,Home,New Territories
2.0,293.0,Loft,Hong Kong
2.0,101.0,Loft,大角咀 Tai Kok Tsui
1.0,34.0,Private room,Hong Kong
1.0,121.0,Apartment,Hong Kong Island
4.0,165.0,Condo,Hong Kong
4.0,86.0,Apartment,Hong Kong
1.0,38.0,Apartment,Hong Kong
1.0,32.0,Private room,Hong Kong
2.0,311.0,Bungalow,Hong Kong
1.0,46.0,Apartment,佐敦
1.0,56.0,Apartment,Hong Kong
1.0,154.0,Condo,Hong Kong
1.0,110.0,Apartment,Hong Kong
2.0,66.0,Apartment,Hong Kong
2.0,81.0,Apartment,Peng Chau
4.0,250.0,Apartment,Hong Kong
2.0,126.0,Apartment,Sheung Wan
1.0,466.0,Apartment,Wai Chai
1.0,369.0,Apartment,Kowloon
2.0,1388.0,Apartment,Hong Kong
2.0,2212.0,Condo,Hong Kong
1.0,506.0,Apartment,Tsim Sha Tsui District 尖沙咀
1.0,445.0,Apartment,Hong Kong
3.0,1425.0,Condo,Hong Kong
1.0,1046.0,Apartment,Hong Kong
1.0,1051.0,Private room,Hong Kong
2.0,870.0,Home,Hong Kong
1.0,1755.0,Condo,Hong Kong
3.0,1058.0,Apartment,Hong Kong Island
2.0,1063.0,Condo,Hong Kong
2.0,891.0,Apartment,Hong Kong
3.0,1341.0,Cottage,Hong Kong
1.0,803.0,Vacation home,Hong Kong
1.0,1376.0,Apartment,Hong Kong
1.0,755.0,Apartment,Hong Kong
1.0,320.0,Private room,Sheung Wan
2.0,292.0,Private room,Hong Kong
3.0,1027.0,Apartment,Hong Kong
1.0,670.0,Apartment,Hong Kong
1.0,351.0,Apartment,Kowloon
1.0,445.0,Private room,Hong Kong
2.0,591.0,Apartment,Hong Kong
1.0,371.0,Apartment,Hong Kong
1.0,466.0,Apartment,Hong Kong
1.0,637.0,Apartment,Hong Kong
1.0,375.0,Apartment,Hong Kong
1.0,333.0,Private room,Hong Kong
3.0,1255.0,Apartment,Hong Kong
1.0,525.0,Apartment,Hong Kong
1.0,432.0,Private room,九龍尖沙咀
1.0,306.0,Private room,Hong Kong
2.0,126.0,Shared room,Hong Kong
1.0,651.0,Cottage,Hong Kong
1.0,1376.0,Apartment,Hong Kong
4.0,1033.0,Apartment,Hong Kong
1.0,729.0,Place to stay,Hong Kong
1.0,396.0,Private room,Hong Kong
1.0,396.0,Private room,Hong Kong
2.0,541.0,Apartment,佐敦
2.0,637.0,Apartment,Hong Kong
1.0,143.0,Shared room,Hong Kong
1.0,364.0,Private room,Hong Kong
2.0,622.0,Apartment,Hong Kong
1.0,331.0,Private room,Hong Kong
1.0,456.0,Apartment,Hong Kong
3.0,1027.0,Apartment,Hong Kong
1.0,676.0,Condo,Hong Kong
2.0,4136.0,Home,Hong Kong
1.0,776.0,Apartment,香港
4.0,299.0,Private room,Hong Kong
1.0,104.0,Private room,Hong Kong
2.0,1151.0,Cottage,Hong Kong
1.0,307.0,Hotel room,Hong Kong
3.0,1027.0,Apartment,Hong Kong
1.0,411.0,Place to stay,Hong Kong
2.0,1670.0,Apartment,Hong Kong
1.0,594.0,Tiny home,大嶼山
2.0,2068.0,Apartment,Sai Ying Pun
1.0,404.0,Apartment,Kowloon
2.0,533.0,Apartment,佐敦
3.0,1027.0,Apartment,Hong Kong
3.0,1063.0,Condo,Hong Kong
1.0,455.0,Private room,Hong Kong
1.0,818.0,Apartment,Lantau Island
1.0,377.0,Private room,佐敦
1.0,477.0,Apartment,Hong Kong
1.0,276.0,Private room,Hong Kong
1.0,514.0,Condo,Hong Kong
2.0,1203.0,Apartment,Hong Kong
2.0,11207.0,Private room,Hong Kong
2.0,2226.0,Apartment,Lamma Island
1.0,432.0,Private room,Hong Kong
5.0,4008.0,Apartment,Hong Kong
1.0,929.0,Apartment,Hong Kong Island
3.0,1386.0,Apartment,Hong Kong
2.0,524.0,Apartment,Hong Kong
2.0,668.0,Private room,Hong Kong
1.0,1194.0,Apartment,Hung Shing Yeh Beach
4.0,2972.0,Apartment,Hong Kong
3.0,1369.0,Apartment,Hong Kong
2.0,1460.0,Apartment,Hong Kong
1.0,221.0,Private room,香港
3.0,1027.0,Apartment,Hong Kong
2.0,1954.0,Private room,Lamma Island
1.0,784.0,Apartment,Hong Kong
2.0,411.0,Hotel room,Hong Kong
1.0,3480.0,Apartment,Hong Kong
3.0,1369.0,Apartment,Hung Hom
