,Number of Beds
1 single bed,397
1 double bed,231
1 large double bed,57
"Bed in dormitory
1 bunk bed",46
2 single beds,43
1 extra-large double bed,37
"Bed in dormitory
1 single bed",35
"3 beds (2 singles, 1 bunk bed)",8
2 double beds,8
1 futon bed,7
2 futon beds,6
3 single beds,4
2 bunk beds,4
"4 beds (2 singles, 2 sofa beds)",3
"3 beds (2 singles, 1 sofa bed)",3
"2 beds (1 double, 1 futon)",2
"2 beds (1 double, 1 bunk bed)",2
"Private studio
1 futon bed",2
"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 double bed",2
"2 beds (1 single, 1 double)",2
4 single beds,2
"Private studio • 15m²
1 double bed",2
"Private studio
1 single bed",2
Multiple bed types,2
"4 beds (2 singles, 2 bunk beds)",2
Beds: 1 double or 2 singles,2
"Shared dormitory room
2 bunk beds",2
"2 beds (1 sofa bed, 1 large double)",2
"2 beds (1 single, 1 sofa bed)",2
"2 beds (1 bunk bed, 1 futon)",2
"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 18m²
1 double bed",1
"Entire apartment • 1 bedroom • 1 bathroom • 22m²
2 bunk beds",1
"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
3 beds (2 doubles, 1 sofa bed)",1
"Private studio • 12m²
1 single bed",1
8 bunk beds,1
"Entire apartment • 1 bedroom • 1 bathroom • 17m²
1 double bed",1
"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 45m²
3 beds (1 sofa bed, 2 large doubles)",1
"Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 34m²
5 beds (2 singles, 1 double, 1 sofa bed, 1 futon)",1
"4 beds (2 sofa beds, 2 large doubles)",1
"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 29m²
2 beds (1 sofa bed, 1 large double)",1
"Private studio • 1 kitchen • 25m²
1 double bed",1
"Private suite • 1 bedroom • 1 living room • 1 bathroom • 33m²
1 large double bed",1
"Entire studio • 1 bathroom • 40m²
1 extra-large double bed",1
"Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 40m²
3 double beds",1
"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
2 beds (1 single, 1 large double)",1
"Private suite
3 beds (2 doubles, 1 sofa bed)",1
"4 beds (2 doubles, 1 bunk bed, 1 futon)",1
"Private studio • 12m²
1 double bed",1
"Private suite • 1 bedroom • 1 living room • 1 bathroom • 40m²
3 single beds",1
"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 62m²
6 beds (5 singles, 1 sofa bed)",1
"Entire studio • 1 bathroom • 1 kitchen • 19m²
1 double bed",1
"Entire apartment • 1 bedroom • 1 bathroom • 25m²
2 large double beds",1
"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 23m²
1 double bed",1
"4 beds (1 double, 3 futons)",1
"6 beds (4 singles, 2 sofa beds)",1
"Entire apartment • 1 bedroom • 1 bathroom • 18m²
1 double bed",1
"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
5 beds (2 doubles, 2 sofa beds, 1 futon)",1
