Hotel Name,Price Per Night,Location,Average Rating
JW Marriott Hotel Hong Kong,2280.0,Admiralty,9.0
The Hari Hong Kong,1063.0,Wan Chai,9.0
iclub Sheung Wan Hotel,448.0,Sheung Wan,8.2
"The Park Lane Hong Kong, a Pullman Hotel",1062.0,Causeway Bay,8.2
Four Seasons Hotel Hong Kong,2816.0,Central & Western District,9.4
The Hari Hong Kong,1063.0,Wan Chai,9.0
"Mandarin Oriental, Hong Kong",2100.0,Central & Western District,9.6
"Island Shangri-La, Hong Kong",1800.0,Admiralty,9.2
Butterfly on Wellington Boutique Hotel Central,713.0,Sheung Wan,8.8
Harbour Grand Hong Kong,914.0,North Point,8.6
ibis Hong Kong Central And Sheung Wan,551.0,Sheung Wan,8.4
Madera Hollywood,1089.0,Sheung Wan,9.2
The Harbourview,732.0,Wan Chai,7.8
Shama Island North Hong Kong,600.0,North Point,8.2
Grand Hyatt Hong Kong,1680.0,Wan Chai,9.4
Two MacDonnell Road,1696.0,Central & Western District,8.8
The Fleming Hong Kong,914.0,Wan Chai,9.0
The Emperor Hotel,393.0,Wan Chai,8.2
The Upper House,3460.0,Admiralty,9.6
Regal Hongkong Hotel,936.0,Causeway Bay,7.6
The Connaught,3440.0,Sai Ying Pun,8.2
Burlington Hotel,517.0,Wan Chai,8.6
JW Marriott Hotel Hong Kong,2280.0,Admiralty,9.0
Hyatt Centric Victoria Harbour Hong Kong,960.0,North Point,8.4
Harbour Plaza North Point,570.0,North Point,8.0
Sohotel,706.0,Sheung Wan,8.0
"The Murray, Hong Kong, a Niccolo Hotel",1968.0,Central & Western District,9.4
Mini Hotel Causeway Bay Hong Kong,287.0,Causeway Bay,7.2
Rosedale Hotel Hong Kong,359.0,Causeway Bay,7.2
Wifi Boutique Hotel,764.0,Wan Chai,7.2
The Arca,1174.0,Southern District,8.2
Travelodge Central Hollywood Road,329.0,Sheung Wan,7.8
Garden View Hong Kong,455.0,Central & Western District,8.0
iclub AMTD Sheung Wan Hotel,425.0,Sheung Wan,8.4
