Description,Number of Beds,Price (HKD)
Hotel room in Chuo City,1 small double bed,"$37 
$32
 night
$32 per night, originally $37"
Private room in Sumida-ku,1 double bed,"$40 
$23
 night
$23 per night, originally $40"
Hotel room in 中央区,3 beds,"$160 
$62
 night
$62 per night, originally $160"
Hotel room in Chuo City,1 double bed,"$45 
$36
 night
$36 per night, originally $45"
Apartment in Chuo City,1 bed,"$79 
$55
 night
$55 per night, originally $79"
Apartment in 渋谷区,1 bed,"$23
 night
$23 per night"
Hotel room in Taito City,1 single bed,"$36
 night
$36 per night"
Private room in Shinagawa Ku,1 double bed,"$46
 night
$46 per night"
Apartment in Bunkyo City,1 small double bed,"$36 
$32
 night
$32 per night, originally $36"
Apartment in Edogawa City,3 beds,"$44
 night
$44 per night"
Apartment in Sumida-ku,3 small double beds,"$101 
$60
 night
$60 per night, originally $101"
Hotel room in Sumida City,2 beds,"$82
 night
$82 per night"
Apartment in Shinjuku City,2 beds,"$90
 night
$90 per night"
Hotel room in 港区,1 double bed,"$51
 night
$51 per night"
Home in Shibuya-ku,2 beds,"$59
 night
$59 per night"
Villa in Shinjuku City,5 beds,"$17
 night
$17 per night"
Private room in Taitō-ku,2 floor mattresses,"$37 
$23
 night
$23 per night, originally $37"
Condo in Toshima City,2 beds,"$58 
$40
 night
$40 per night, originally $58"
Apartment in Shinjuku-ku,2 beds,"$103
 night
$103 per night"
Apartment in Shinjuku-ku,2 beds,"$65 
$39
 night
$39 per night, originally $65"
Apartment in Shibuya City,1 queen bed,"$1,164 
$370 HKD
 night
$370 HKD per night, originally $1,164"
Hotel room in Chuo City,1 bed,"$289 
$245 HKD
 night
$245 HKD per night, originally $289"
Apartment in Shinjuku City,1 bed,"$372 
$327 HKD
 night
$327 HKD per night, originally $372"
Hotel room in Shinjuku-ku,1 floor mattress,"$466 
$271 HKD
 night
$271 HKD per night, originally $466"
Hotel room in Taito City,1 small double bed,"$534 
$302 HKD
 night
$302 HKD per night, originally $534"
Hotel room in Taito City,1 single bed,"$436 
$351 HKD
 night
$351 HKD per night, originally $436"
Apartment in Shinjuku-ku,1 double bed,"$780 HKD
 night
$780 HKD per night"
Condo in 新宿区,2 beds,"$443 HKD
 night
$443 HKD per night"
Apartment in Shinjuku City,1 double bed,"$759 HKD
 night
$759 HKD per night"
Hotel room in Minato City,,"$410 HKD
 night
$410 HKD per night"
Apartment in 新宿区,1 double bed,"$317 HKD
 night
$317 HKD per night"
Apartment in Shinjuku City,1 double bed,"$258 HKD
 night
$258 HKD per night"
Hotel room in Shinjuku-ku,1 double bed,"$1,001 
$602 HKD
 night
$602 HKD per night, originally $1,001"
Apartment in Shibuya City,3 beds,"$503 HKD
 night
$503 HKD per night"
Private room in Ota City,1 single bed,"$175 
$103 HKD
 night
$103 HKD per night, originally $175"
Apartment in Shinjuku City,1 double bed,"$315 HKD
 night
$315 HKD per night"
Condo in Shinjuku City,1 bed,"$510 
$445 HKD
 night
$445 HKD per night, originally $510"
Private room in Shinjuku City,2 floor mattresses,"$373 HKD
 night
$373 HKD per night"
Condo in Shinjuku City,2 beds,"$659 HKD
 night
$659 HKD per night"
Private room in Koto City,3 beds,"$546 
$345 HKD
 night
$345 HKD per night, originally $546"
Hotel room in 墨田区,3 floor mattresses,"$487 HKD
 night
$487 HKD per night"
Apartment in Taito City,1 bed,"$479 
$294 HKD
 night
$294 HKD per night, originally $479"
Apartment in 新宿区,1 double bed,"$355 HKD
 night
$355 HKD per night"
Apartment in Taito City,1 bed,"$531 
$336 HKD
 night
$336 HKD per night, originally $531"
Private room in Ota City,1 single bed,"$145 
$97 HKD
 night
$97 HKD per night, originally $145"
Private room in Taito City,,"$329 
$294 HKD
 night
$294 HKD per night, originally $329"
Private room in Shibuyaku,1 single bed,"$315 HKD
 night
$315 HKD per night"
Hotel room in Taito City,2 single beds,"$448 HKD
 night
$448 HKD per night"
Apartment in Shibuya-ku,1 bed,"$276 HKD
 night
$276 HKD per night"
Apartment in Shinjuku City,3 beds,"$215 HKD
 night
$215 HKD per night"
Apartment in Shibuya-ku,1 double bed,"$509 HKD
 night
$509 HKD per night"
Apartment in Shinjuku-ku,1 bed,"$327 HKD
 night
$327 HKD per night"
Apartment in Shibuya-ku,1 double bed,"$416 
$366 HKD
 night
$366 HKD per night, originally $416"
Apartment in Shibuya-ku,1 double bed,"$665 
$538 HKD
 night
$538 HKD per night, originally $665"
Hotel room in Taito City,1 double bed,"$281 HKD
 night
$281 HKD per night"
Apartment in Toshima City,2 beds,"$279 HKD
 night
$279 HKD per night"
Private room in Ota City,1 bunk bed,"$204 
$143 HKD
 night
$143 HKD per night, originally $204"
