Number of Beds,Location,Price (HKD)
"Entire apartment • 1 bedroom • 1 bathroom • 17m²
1 double bed","Kita, Tokyo",HK$ 589
"2 beds (1 double, 1 futon)","Taito, Tokyo",HK$ 621
"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 32m²
3 single beds","Shinagawa Ward, Tokyo","HK$ 1,807"
"Entire apartment • 1 bedroom • 1 bathroom
2 beds (1 double, 1 futon)","Sumida Ward, Tokyo",HK$ 811
1 single bed,"Taito, Tokyo",HK$ 378
"Bed in dormitory
1 single bed","Taito, Tokyo",HK$ 226
1 futon bed,"Toshima, Tokyo",HK$ 389
3 single beds,"Shinjuku Ward, Tokyo","HK$ 1,299"
"Bed in dormitory
1 single bed","Koto Ward, Tokyo",HK$ 190
1 double bed,"Shibuya Ward, Tokyo",HK$ 915
1 large double bed,"Minato, Tokyo","HK$ 1,910"
1 single bed,"Minato, Tokyo","HK$ 1,117"
2 single beds,"Minato, Tokyo","HK$ 2,530"
1 double bed,"Shibuya Ward, Tokyo","HK$ 1,471"
"Shared dormitory room
1 single bed","Shibuya Ward, Tokyo",HK$ 566
1 large double bed,"Chiyoda, Tokyo","HK$ 2,067"
1 single bed,"Chuo Ward, Tokyo",HK$ 594
1 single bed,"Shibuya Ward, Tokyo",HK$ 911
1 double bed,"Chuo Ward, Tokyo",HK$ 957
1 single bed,"Minato, Tokyo",HK$ 728
1 single bed,"Chuo Ward, Tokyo",HK$ 608
1 single bed,"Chuo Ward, Tokyo",HK$ 835
1 double bed,"Shinjuku Ward, Tokyo",HK$ 867
1 double bed,"Chuo Ward, Tokyo","HK$ 1,039"
1 single bed,"Shinjuku Ward, Tokyo",HK$ 863
1 single bed,"Shibuya Ward, Tokyo","HK$ 1,839"
1 single bed,"Ota Ward, Tokyo","HK$ 1,448"
1 single bed,"Shibuya Ward, Tokyo",HK$ 989
1 double bed,"Chuo Ward, Tokyo",HK$ 608
1 single bed,"Shibuya Ward, Tokyo","HK$ 1,028"
1 large double bed,"Shinjuku Ward, Tokyo","HK$ 1,929"
1 double bed,"Shinagawa Ward, Tokyo",HK$ 658
1 single bed,"Minato, Tokyo",HK$ 644
1 single bed,"Chuo Ward, Tokyo",HK$ 608
1 single bed,"Chuo Ward, Tokyo",HK$ 790
1 single bed,"Taito, Tokyo",HK$ 500
1 single bed,"Kita, Tokyo",HK$ 746
1 single bed,"Chuo Ward, Tokyo","HK$ 1,082"
2 single beds,"Sumida Ward, Tokyo","HK$ 1,228"
1 double bed,"Chuo Ward, Tokyo","HK$ 1,880"
1 double bed,"Shinagawa Ward, Tokyo",HK$ 726
1 large double bed,"Chiyoda, Tokyo",HK$ 789
1 single bed,"Chuo Ward, Tokyo",HK$ 711
1 double bed,"Taito, Tokyo",HK$ 450
1 double bed,"Koto Ward, Tokyo",HK$ 758
1 single bed,"Kita, Tokyo",HK$ 714
1 double bed,"Ota Ward, Tokyo",HK$ 782
1 single bed,"Shinagawa Ward, Tokyo",HK$ 626
1 double bed,"Chiyoda, Tokyo","HK$ 1,139"
1 double bed,"Minato, Tokyo",HK$ 902
1 double bed,"Minato, Tokyo",HK$ 729
1 double bed,"Minato, Tokyo",HK$ 837
2 single beds,"Chiyoda, Tokyo","HK$ 2,921"
1 single bed,"Minato, Tokyo","HK$ 1,264"
1 single bed,"Toshima, Tokyo",HK$ 519
1 single bed,"Minato, Tokyo","HK$ 1,233"
1 large double bed,"Minato, Tokyo","HK$ 2,733"
1 single bed,"Shinjuku Ward, Tokyo",HK$ 865
2 single beds,"Minato, Tokyo","HK$ 1,698"
1 double bed,"Shibuya Ward, Tokyo","HK$ 1,435"
1 single bed,"Ota Ward, Tokyo","HK$ 1,003"
1 large double bed,"Shinjuku Ward, Tokyo","HK$ 2,889"
1 double bed,"Shinjuku Ward, Tokyo","HK$ 1,809"
1 single bed,"Chiyoda, Tokyo",HK$ 627
1 single bed,"Chuo Ward, Tokyo",HK$ 714
1 large double bed,"Shinjuku Ward, Tokyo",HK$ 935
"2 beds (1 sofa bed, 1 large double)","Shinagawa Ward, Tokyo",HK$ 574
1 single bed,"Shinjuku Ward, Tokyo",HK$ 584
1 single bed,"Shinjuku Ward, Tokyo",HK$ 876
1 double bed,"Minato, Tokyo","HK$ 1,329"
1 double bed,"Chuo Ward, Tokyo","HK$ 1,190"
1 double bed,"Minato, Tokyo","HK$ 1,083"
1 single bed,"Taito, Tokyo",HK$ 537
1 single bed,"Chiyoda, Tokyo",HK$ 617
1 double bed,"Shinjuku Ward, Tokyo",HK$ 968
1 single bed,"Ota Ward, Tokyo",HK$ 974
1 single bed,"Chuo Ward, Tokyo",HK$ 687
"3 beds (2 singles, 1 bunk bed)","Shinjuku Ward, Tokyo","HK$ 2,678"
1 single bed,"Taito, Tokyo",HK$ 487
1 single bed,"Kita, Tokyo",HK$ 717
1 double bed,"Minato, Tokyo",HK$ 667
1 single bed,"Chuo Ward, Tokyo","HK$ 1,001"
1 single bed,"Shinjuku Ward, Tokyo",HK$ 898
1 single bed,"Chuo Ward, Tokyo",HK$ 899
1 single bed,"Shinjuku Ward, Tokyo",HK$ 976
1 single bed,"Taito, Tokyo",HK$ 569
1 single bed,"Bunkyo, Tokyo",HK$ 546
1 single bed,"Shibuya Ward, Tokyo","HK$ 1,856"
"Private apartment • 1 bedroom • 1 bathroom • 1 kitchen • 34m²
3 beds (2 singles, 1 bunk bed)","Taito, Tokyo","HK$ 2,202"
1 single bed,"Taito, Tokyo",HK$ 487
1 single bed,"Shinjuku Ward, Tokyo",HK$ 915
1 large double bed,"Minato, Tokyo",HK$ 865
1 extra-large double bed,"Minato, Tokyo","HK$ 2,004"
1 double bed,"Shibuya Ward, Tokyo",HK$ 844
1 large double bed,"Chuo Ward, Tokyo","HK$ 1,081"
1 single bed,"Minato, Tokyo",HK$ 717
1 large double bed,"Kita, Tokyo",HK$ 752
1 single bed,"Shibuya Ward, Tokyo",HK$ 698
1 single bed,"Chiyoda, Tokyo",HK$ 952
1 single bed,"Taito, Tokyo",HK$ 569
1 single bed,"Taito, Tokyo",HK$ 739
1 single bed,"Chuo Ward, Tokyo",HK$ 738
1 double bed,"Toshima, Tokyo",HK$ 615
1 single bed,"Chuo Ward, Tokyo",HK$ 638
1 single bed,"Shibuya Ward, Tokyo",HK$ 995
1 single bed,"Toshima, Tokyo",HK$ 671
1 double bed,"Chuo Ward, Tokyo","HK$ 1,244"
1 single bed,"Taito, Tokyo",HK$ 487
1 single bed,"Shinjuku Ward, Tokyo",HK$ 954
1 single bed,"Shinagawa Ward, Tokyo",HK$ 648
1 single bed,"Taito, Tokyo",HK$ 726
1 single bed,"Shibuya Ward, Tokyo",HK$ 813
1 single bed,"Minato, Tokyo",HK$ 790
1 single bed,"Chiyoda, Tokyo",HK$ 606
1 single bed,"Chuo Ward, Tokyo",HK$ 683
1 double bed,"Edogawa, Tokyo",HK$ 828
1 double bed,"Chiyoda, Tokyo",HK$ 606
1 double bed,"Meguro Ward, Tokyo","HK$ 1,182"
1 single bed,"Shibuya Ward, Tokyo",HK$ 844
1 double bed,"Taito, Tokyo","HK$ 1,367"
1 single bed,"Chuo Ward, Tokyo",HK$ 571
1 single bed,"Chuo Ward, Tokyo",HK$ 842
1 single bed,"Ota Ward, Tokyo",HK$ 632
1 double bed,"Chuo Ward, Tokyo",HK$ 736
Beds: 1 double or 2 singles,"Minato, Tokyo","HK$ 2,517"
1 double bed,"Minato, Tokyo",HK$ 789
1 single bed,"Chuo Ward, Tokyo",HK$ 865
1 double bed,"Minato, Tokyo",HK$ 738
1 single bed,"Taito, Tokyo",HK$ 541
1 single bed,"Chuo Ward, Tokyo",HK$ 759
1 single bed,"Taito, Tokyo",HK$ 541
1 single bed,"Taito, Tokyo",HK$ 752
1 double bed,"Chiyoda, Tokyo",HK$ 852
1 single bed,"Minato, Tokyo",HK$ 941
1 single bed,"Chuo Ward, Tokyo",HK$ 517
1 single bed,"Ota Ward, Tokyo","HK$ 1,763"
"4 beds (2 singles, 2 futons)","Minato, Tokyo","HK$ 2,826"
1 single bed,"Shinjuku Ward, Tokyo",HK$ 713
1 single bed,"Chuo Ward, Tokyo",HK$ 901
1 double bed,"Minato, Tokyo",HK$ 940
1 double bed,"Minato, Tokyo",HK$ 764
1 double bed,"Minato, Tokyo","HK$ 1,113"
1 single bed,"Koto Ward, Tokyo",HK$ 993
1 single bed,"Chuo Ward, Tokyo",HK$ 606
1 single bed,"Sumida Ward, Tokyo",HK$ 444
1 double bed,"Minato, Tokyo",HK$ 883
1 single bed,"Shinagawa Ward, Tokyo",HK$ 660
1 double bed,"Koto Ward, Tokyo","HK$ 1,958"
1 single bed,"Shibuya Ward, Tokyo","HK$ 1,285"
1 single bed,"Minato, Tokyo",HK$ 665
1 single bed,"Taito, Tokyo",HK$ 584
1 single bed,"Ota Ward, Tokyo",HK$ 638
1 double bed,"Koto Ward, Tokyo",HK$ 638
1 single bed,"Chiyoda, Tokyo",HK$ 725
1 single bed,"Shibuya Ward, Tokyo","HK$ 1,154"
1 single bed,"Edogawa, Tokyo",HK$ 536
1 futon bed,"Bunkyo, Tokyo",HK$ 825
"4 beds (2 singles, 2 bunk beds)","Taito, Tokyo","HK$ 2,321"
2 single beds,"Minato, Tokyo","HK$ 1,413"
2 single beds,"Urayasu, Tokyo","HK$ 3,127"
1 double bed,"Chuo Ward, Tokyo","HK$ 1,198"
1 double bed,"Taito, Tokyo",HK$ 461
1 double bed,"Shinagawa Ward, Tokyo","HK$ 1,103"
1 double bed,"Minato, Tokyo",HK$ 714
1 single bed,"Chuo Ward, Tokyo",HK$ 514
Multiple bed types,"Taito, Tokyo",HK$ 717
1 single bed,"Chuo Ward, Tokyo",HK$ 563
1 single bed,"Taito, Tokyo",HK$ 547
1 double bed,"Toshima, Tokyo",HK$ 541
1 double bed,"Toshima, Tokyo",HK$ 904
1 single bed,"Chiyoda, Tokyo",HK$ 573
1 large double bed,"Minato, Tokyo",HK$ 974
1 single bed,"Minato, Tokyo",HK$ 736
1 single bed,"Shinjuku Ward, Tokyo",HK$ 801
1 single bed,"Minato, Tokyo",HK$ 606
1 single bed,"Ota Ward, Tokyo",HK$ 606
"Bed in dormitory
1 bunk bed","Taito, Tokyo",HK$ 216
1 large double bed,"Chuo Ward, Tokyo","HK$ 1,719"
1 single bed,"Chuo Ward, Tokyo",HK$ 833
1 extra-large double bed,"Bunkyo, Tokyo","HK$ 3,869"
Beds: 1 double or 2 singles,"Minato, Tokyo","HK$ 3,280"
1 single bed,"Taito, Tokyo",HK$ 499
1 single bed,"Shinagawa Ward, Tokyo",HK$ 935
1 single bed,"Shinjuku Ward, Tokyo",HK$ 606
1 single bed,"Shinjuku Ward, Tokyo",HK$ 831
1 double bed,"Minato, Tokyo","HK$ 1,274"
1 single bed,"Chuo Ward, Tokyo",HK$ 546
1 double bed,"Taito, Tokyo","HK$ 1,766"
1 single bed,"Taito, Tokyo",HK$ 513
1 double bed,"Chiyoda, Tokyo","HK$ 1,153"
"Bed in dormitory
1 single bed","Minato, Tokyo",HK$ 389
1 single bed,"Sumida Ward, Tokyo",HK$ 665
1 double bed,"Shinjuku Ward, Tokyo",HK$ 801
"Private studio • 1 bathroom • 35m²
1 extra-large double bed","Chuo Ward, Tokyo","HK$ 3,059"
1 double bed,"Sumida Ward, Tokyo",HK$ 914
1 single bed,"Chiyoda, Tokyo",HK$ 666
"Bed in dormitory
1 bunk bed","Shinjuku Ward, Tokyo",HK$ 321
1 single bed,"Shibuya Ward, Tokyo",HK$ 948
1 large double bed,"Arakawa, Tokyo",HK$ 683
1 extra-large double bed,"Minato, Tokyo","HK$ 1,103"
1 single bed,"Chiyoda, Tokyo",HK$ 898
1 single bed,"Toshima, Tokyo",HK$ 541
1 large double bed,"Minato, Tokyo",HK$ 974
1 large double bed,"Minato, Tokyo","HK$ 2,380"
1 single bed,"Minato, Tokyo",HK$ 665
1 double bed,"Minato, Tokyo","HK$ 2,164"
1 single bed,"Toshima, Tokyo",HK$ 531
1 single bed,"Minato, Tokyo",HK$ 784
1 single bed,"Minato, Tokyo",HK$ 606
1 single bed,"Koto Ward, Tokyo",HK$ 898
"4 beds (2 singles, 2 sofa beds)","Taito, Tokyo","HK$ 2,499"
1 single bed,"Minato, Tokyo",HK$ 606
1 single bed,"Chiyoda, Tokyo",HK$ 844
1 double bed,"Setagaya, Tokyo","HK$ 1,142"
1 single bed,"Setagaya, Tokyo","HK$ 1,079"
1 double bed,"Chiyoda, Tokyo",HK$ 832
1 single bed,"Koto Ward, Tokyo",HK$ 652
2 single beds,"Urayasu, Tokyo","HK$ 3,631"
1 double bed,"Chuo Ward, Tokyo","HK$ 1,028"
1 double bed,"Chiyoda, Tokyo",HK$ 622
1 double bed,"Shinjuku Ward, Tokyo",HK$ 916
1 single bed,"Chuo Ward, Tokyo",HK$ 487
1 single bed,"Minato, Tokyo",HK$ 482
2 single beds,"Urayasu, Tokyo","HK$ 2,099"
1 single bed,"Chuo Ward, Tokyo",HK$ 487
1 single bed,"Minato, Tokyo","HK$ 1,269"
1 single bed,"Chuo Ward, Tokyo",HK$ 613
1 double bed,"Chiyoda, Tokyo",HK$ 827
1 single bed,"Setagaya, Tokyo","HK$ 1,285"
1 double bed,"Shinjuku Ward, Tokyo","HK$ 1,623"
1 double bed,"Koto Ward, Tokyo","HK$ 1,310"
1 single bed,"Chiyoda, Tokyo",HK$ 730
1 double bed,"Shibuya Ward, Tokyo","HK$ 3,063"
1 single bed,"Chiyoda, Tokyo",HK$ 745
1 double bed,"Taito, Tokyo",HK$ 487
1 single bed,"Chuo Ward, Tokyo",HK$ 514
1 single bed,"Shinagawa Ward, Tokyo",HK$ 665
1 single bed,"Chuo Ward, Tokyo",HK$ 849
1 single bed,"Taito, Tokyo",HK$ 541
1 double bed,"Taito, Tokyo",HK$ 775
2 double beds,"Urayasu, Tokyo","HK$ 3,815"
1 large double bed,"Chuo Ward, Tokyo",HK$ 762
1 single bed,"Chuo Ward, Tokyo","HK$ 1,188"
1 single bed,"Toshima, Tokyo",HK$ 974
"Bed in dormitory
1 bunk bed","Kita, Tokyo",HK$ 200
1 double bed,"Taito, Tokyo","HK$ 1,022"
1 double bed,"Minato, Tokyo",HK$ 697
1 single bed,"Chiyoda, Tokyo",HK$ 606
1 single bed,"Chuo Ward, Tokyo",HK$ 682
1 extra-large double bed,"Minato, Tokyo","HK$ 1,953"
1 extra-large double bed,"Minato, Tokyo","HK$ 1,953"
1 single bed,"Edogawa, Tokyo",HK$ 686
1 single bed,"Ota Ward, Tokyo",HK$ 607
1 single bed,"Ota Ward, Tokyo",HK$ 865
2 single beds,"Chuo Ward, Tokyo",HK$ 909
1 single bed,"Chuo Ward, Tokyo",HK$ 487
1 single bed,"Shinagawa Ward, Tokyo",HK$ 617
1 single bed,"Taito, Tokyo",HK$ 647
1 single bed,"Chiyoda, Tokyo",HK$ 541
1 single bed,"Koto Ward, Tokyo",HK$ 607
1 double bed,"Koto Ward, Tokyo",HK$ 974
1 double bed,"Taito, Tokyo",HK$ 694
1 single bed,"Minato, Tokyo",HK$ 752
1 double bed,"Chuo Ward, Tokyo",HK$ 789
1 single bed,"Minato, Tokyo",HK$ 723
1 single bed,"Chuo Ward, Tokyo",HK$ 487
1 extra-large double bed,"Chiyoda, Tokyo","HK$ 6,158"
1 single bed,"Chiyoda, Tokyo",HK$ 487
1 single bed,"Chuo Ward, Tokyo",HK$ 850
1 double bed,"Chuo Ward, Tokyo",HK$ 487
1 extra-large double bed,"Minato, Tokyo","HK$ 1,906"
1 double bed,"Taito, Tokyo","HK$ 1,168"
1 extra-large double bed,"Minato, Tokyo","HK$ 4,653"
1 double bed,"Shibuya Ward, Tokyo","HK$ 1,644"
1 double bed,"Shibuya Ward, Tokyo","HK$ 1,178"
1 single bed,"Chuo Ward, Tokyo",HK$ 487
1 double bed,"Chuo Ward, Tokyo","HK$ 1,716"
1 large double bed,"Chuo Ward, Tokyo","HK$ 1,133"
1 double bed,"Minato, Tokyo",HK$ 690
1 single bed,"Ota Ward, Tokyo",HK$ 768
1 large double bed,"Minato, Tokyo","HK$ 1,099"
4 single beds,"Taito, Tokyo","HK$ 2,856"
2 single beds,"Urayasu, Tokyo","HK$ 2,389"
2 single beds,"Urayasu, Tokyo","HK$ 3,460"
2 single beds,"Chuo Ward, Tokyo","HK$ 1,768"
1 double bed,"Taito, Tokyo",HK$ 565
1 double bed,"Taito, Tokyo",HK$ 980
1 single bed,"Koto Ward, Tokyo",HK$ 546
1 double bed,"Minato, Tokyo",HK$ 925
"Bed in dormitory
1 bunk bed","Koto Ward, Tokyo",HK$ 365
1 double bed,"Ota Ward, Tokyo",HK$ 807
1 double bed,"Chuo Ward, Tokyo",HK$ 876
1 large double bed,"Minato, Tokyo","HK$ 2,062"
"2 beds (1 single, 1 double)","Koto Ward, Tokyo",HK$ 763
"3 beds (2 singles, 1 large double)","Shinjuku Ward, Tokyo","HK$ 2,819"
1 single bed,"Chiyoda, Tokyo",HK$ 916
1 single bed,"Ota Ward, Tokyo",HK$ 517
1 extra-large double bed,"Minato, Tokyo","HK$ 3,271"
1 double bed,"Shinjuku Ward, Tokyo","HK$ 1,047"
1 single bed,"Chiyoda, Tokyo",HK$ 613
1 single bed,"Minato, Tokyo",HK$ 725
1 double bed,"Taito, Tokyo",HK$ 658
